chirp_index,timestamp,time_from_start_ms
0,1745186125719,1
1,1745186126257,539
2,1745186126758,1040
3,1745186127275,1557
4,1745186127874,2156
5,1745186128375,2657
6,1745186128874,3156
7,1745186129457,3739
8,1745186129960,4242
9,1745186130464,4746
10,1745186130963,5245
11,1745186131473,5755
12,1745186131974,6256
13,1745186132572,6854
14,1745186133163,7445
15,1745186133671,7953
16,1745186134173,8455
17,1745186134774,9056
18,1745186135368,9650
